id,77ae5656e1b3992e8fbea4290e0b5b63,510e38e2ac64f3d36b3629eb9fcbb5f1,6d213e72169e53e08a512889e76f5a2b,076d60d6c268c2ef2320425f343234f7,1455f186d12ad849ef19e9496582e375,3103aaf2a3628d77f7a21308adf849a6,9acc4eb917299988d4d91c17db2d57aa,3a3a4c004552cd5c39a1d15896d158ea,57723724d44f911a548f4eccbcb22e70
id,รหัสเกษตร,รหัสแปลง,หมู่บ้าน,ลำดับแปลง,รายการแปลง,"ชนิดกาแฟ GI,Non-GI",รายละเอียดแปลง,มาตราฐานฟาร์ม,เจ้าหน้าที่ส่งเสริม
f271ebc68daf9886625130e739009451,1000001,1000001-แปลงโรบัสต้าทดลองโครงการ,แปลงทดลองโครงการ,1,"1000001-แปลงโรบัสต้าทดลองโครงการ แปลงทดลองโครงการ โรบัสต้า-แปลงทดลอง",โรบัสต้า-แปลงทดลอง,แปลงทดลองโครงการ,ไม่ใช่,โครงการพัฒนาดอยตุง
0d3446f06bf03899ea6b703adfb40068,1000001,1000001-แปลงจาวา,แปลงทดลองโครงการ,1,"1000001-แปลงจาวา แปลงทดลองโครงการ จาวา",จาวา,แปลงทดลองโครงการ,ไม่ใช่,โครงการพัฒนาดอยตุง
94848fa83fee5660f640b7af4339bb11,1000001,1000001-แปลงทิปปิก้า,แปลงทดลองโครงการ,1,"1000001-แปลงทิปปิก้า แปลงทดลองโครงการ ทิปปิก้า",ทิปปิก้า,แปลงทดลองโครงการ,ไม่ใช่,โครงการพัฒนาดอยตุง
4ecadd23b24fa6f5c71e9271e4ab73c1,1000001,1000001-แปลงกาโย่,แปลงทดลองโครงการ,1,"1000001-แปลงกาโย่ แปลงทดลองโครงการ กาโย่",กาโย่,แปลงทดลองโครงการ,ไม่ใช่,โครงการพัฒนาดอยตุง
c11f35115f7696b30475dd1b89980c97,1000001,710031,ช้างมูบโซน1,1,710031-ช้างมูบโซน1-แคททูร่าจี-CaturraG-แดง,แคททูร่าจี-CaturraG-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
fddb33e12a034f92ea42c5c3565c843d,1000001,710032,ช้างมูบโซน1,1,710032-ช้างมูบโซน1-แคททูร่าจี-CaturraG-เหลือง,แคททูร่าจี-CaturraG-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
c49ee65496af9ff9b5fd0be82fef1581,1000001,710041,ช้างมูบโซน1,1,710041-ช้างมูบโซน1-แคททูร่าพี-CaturraP-แดง,แคททูร่าพี-CaturraP-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
96d856ae33b04258a4b0084cf1469a84,1000001,710042,ช้างมูบโซน1,1,710042-ช้างมูบโซน1-แคททูร่าพี-CaturraP-เหลือง,แคททูร่าพี-CaturraP-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
171dd318d00e575f1033976ec35d6a03,1000001,710071,ช้างมูบโซน1,1,710071-ช้างมูบโซน1-โทพาซิโอ้-Topazio-แดง,โทพาซิโอ้-Topazio-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
7e5a247aacf5907526b3a722bc8eab7c,1000001,710072,ช้างมูบโซน1,1,710072-ช้างมูบโซน1-โทพาซิโอ้-Topazio-เหลือง,โทพาซิโอ้-Topazio-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
91b5a9d1e6c81ffeeaee9052e084d6c0,1000001,720031,ช้างมูบโซน2,1,720031-ช้างมูบโซน2-แคททูร่าจี-CaturraG-แดง,แคททูร่าจี-CaturraG-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
ff20da6f888bb6544fa66914c85995b6,1000001,720032,ช้างมูบโซน2,1,720032-ช้างมูบโซน2-แคททูร่าจี-CaturraG-เหลือง,แคททูร่าจี-CaturraG-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
90f6d811a71c5d093f58cf75228fa046,1000001,720041,ช้างมูบโซน2,1,720041-ช้างมูบโซน2-แคททูร่าพี-CaturraP-แดง,แคททูร่าพี-CaturraP-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
f627a408e451995e1662fd5385c5ca32,1000001,720042,ช้างมูบโซน2,1,720042-ช้างมูบโซน2-แคททูร่าพี-CaturraP-เหลือง,แคททูร่าพี-CaturraP-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
9253bf3024bbfc1e3bc86e6aeb77d084,1000001,720071,ช้างมูบโซน2,1,720071-ช้างมูบโซน2-โทพาซิโอ้-Topazio-แดง,โทพาซิโอ้-Topazio-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
2a181255f5a082303e96f4f9edaac9a8,1000001,720072,ช้างมูบโซน2,1,720072-ช้างมูบโซน2-โทพาซิโอ้-Topazio-เหลือง,โทพาซิโอ้-Topazio-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
f5f021fe92bcd62ce520151a8e7017c5,1000001,730031,ช้างมูบโซน3,1,730031-ช้างมูบโซน3-แคททูร่าจี-CaturraG-แดง,แคททูร่าจี-CaturraG-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
fe64394b898f81f39b4b820413dd55bc,1000001,730032,ช้างมูบโซน3,1,730032-ช้างมูบโซน3-แคททูร่าจี-CaturraG-เหลือง,แคททูร่าจี-CaturraG-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
6f452eeabf3e19a94666c787206d5706,1000001,730041,ช้างมูบโซน3,1,730041-ช้างมูบโซน3-แคททูร่าพี-CaturraP-แดง,แคททูร่าพี-CaturraP-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
ef45854bcef569a97d77fc6f1ddd3121,1000001,730042,ช้างมูบโซน3,1,730042-ช้างมูบโซน3-แคททูร่าพี-CaturraP-เหลือง,แคททูร่าพี-CaturraP-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
1ff4c12a054d5161cfaf5f1ca3e627d4,1000001,730071,ช้างมูบโซน3,1,730071-ช้างมูบโซน3-โทพาซิโอ้-Topazio-แดง,โทพาซิโอ้-Topazio-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
8f6b387e62e6429914a401c5bce38ae7,1000001,730072,ช้างมูบโซน3,1,730072-ช้างมูบโซน3-โทพาซิโอ้-Topazio-เหลือง,โทพาซิโอ้-Topazio-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
0388f15ea8c55fb4ac1cae65cb16ebdb,1000001,11B031,นวุติไซด์1/1B,1,11B031-นวุติไซด์1/1B-แคททูร่าจี-CaturraG-แดง,แคททูร่าจี-CaturraG-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
16ea4cc5b26fb05c222d7f56f006ec23,1000001,11B032,นวุติไซด์1/1B,1,11B032-นวุติไซด์1/1B-แคททูร่าจี-CaturraG-เหลือง,แคททูร่าจี-CaturraG-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
1f0d8785aeec7279bfe8279d341d8d57,1000001,11B041,นวุติไซด์1/1B,1,11B041-นวุติไซด์1/1B-แคททูร่าพี-CaturraP-แดง,แคททูร่าพี-CaturraP-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
73ed324542294e67cf3426fe12608800,1000001,11B042,นวุติไซด์1/1B,1,11B042-นวุติไซด์1/1B-แคททูร่าพี-CaturraP-เหลือง,แคททูร่าพี-CaturraP-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
7f27d57c8ede5c18f7a76bce4db369bf,1000001,11B071,นวุติไซด์1/1B,1,11B071-นวุติไซด์1/1B-โทพาซิโอ้-Topazio-แดง,โทพาซิโอ้-Topazio-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
f69f5ef9cd0f86d1ee4cae046b501cca,1000001,11B072,นวุติไซด์1/1B,1,11B072-นวุติไซด์1/1B-โทพาซิโอ้-Topazio-เหลือง,โทพาซิโอ้-Topazio-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
16fe55ed45fdfbd642b92f19429621d2,1000001,11B051,นวุติไซด์1/1B,1,11B051-นวุติไซด์1/1B-คัสติโล่-Castillo-แดง,คัสติโล่-Castillo-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
3000f98c4690fa3696d49f22ddbc107d,1000001,11B052,นวุติไซด์1/1B,1,11B052-นวุติไซด์1/1B-คัสติโล่-Castillo-เหลือง,คัสติโล่-Castillo-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
495d47ed5c5e9fc1d6b187c86c3b9751,1000001,11B021,นวุติไซด์1/1B,1,11B021-นวุติไซด์1/1B-คาติกวา-Catigua-แดง,คาติกวา-Catigua-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
d36c19aa89fe5d5e49cc5b00c2d25a49,1000001,11B022,นวุติไซด์1/1B,1,11B022-นวุติไซด์1/1B-คาติกวา-Catigua-เหลือง,คาติกวา-Catigua-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
f42ae50c3f3147cb91bac01f04815c27,1000001,11B061,นวุติไซด์1/1B,1,11B061-นวุติไซด์1/1B-พาไรโซ่-Paraiso-แดง,พาไรโซ่-Paraiso-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
5a2fdde63aad4d92f1b9e4190e61bfa2,1000001,11B062,นวุติไซด์1/1B,1,11B062-นวุติไซด์1/1B-พาไรโซ่-Paraiso-เหลือง,พาไรโซ่-Paraiso-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
1f141eb21a1210f79c20ce47e4c33503,1000001,11B011,นวุติไซด์1/1B,1,11B011-นวุติไซด์1/1B-อะคาว่า-Acaua-แดง,อะคาว่า-Acaua-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
a9beeedaeb1d753b3b9da8c97f8c1cb3,1000001,11B012,นวุติไซด์1/1B,1,11B012-นวุติไซด์1/1B-อะคาว่า-Acaua-เหลือง,อะคาว่า-Acaua-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
1cf8e595b4f56fd0e8760d5d8c03fcec,1000001,120031,นวุติไซด์1/2,1,120031-นวุติไซด์1/2-แคททูร่าจี-CaturraG-แดง,แคททูร่าจี-CaturraG-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
da09de36702803daf7e1cd63b3fc88de,1000001,120032,นวุติไซด์1/2,1,120032-นวุติไซด์1/2-แคททูร่าจี-CaturraG-เหลือง,แคททูร่าจี-CaturraG-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
ac2eb558f177e56ef6d36ce028f40338,1000001,120041,นวุติไซด์1/2,1,120041-นวุติไซด์1/2-แคททูร่าพี-CaturraP-แดง,แคททูร่าพี-CaturraP-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
65cb7256bda947b6eda52ce3de36c438,1000001,120042,นวุติไซด์1/2,1,120042-นวุติไซด์1/2-แคททูร่าพี-CaturraP-เหลือง,แคททูร่าพี-CaturraP-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
c6a20dec9232a92cfc764a1efceccd2d,1000001,120071,นวุติไซด์1/2,1,120071-นวุติไซด์1/2-โทพาซิโอ้-Topazio-แดง,โทพาซิโอ้-Topazio-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
c1f39cb1c1fb9a174abca77a9f876932,1000001,120072,นวุติไซด์1/2,1,120072-นวุติไซด์1/2-โทพาซิโอ้-Topazio-เหลือง,โทพาซิโอ้-Topazio-เหลือง,แปลงทดลองโครงการ,ไม่ใช่,106983
083b321917cd00a834bbfff8104ccd3c,1000001,120051,นวุติไซด์1/2,1,120051-นวุติไซด์1/2-คัสติโล่-Castillo-แดง,คัสติโล่-Castillo-แดง,แปลงทดลองโครงการ,ไม่ใช่,106983
